context,response
i suppose this is a faq recently but what's a painless way to get gcc 45 in ubuntu karmic,is there something like aptget install gccunstable like
hi does anyone know an url for compatible joystick in ubuntu 810,ps3 remote controller d
quick question about removing a file,shoot
how does one submit a program for inclusion in the ubuntu distro,ubuntudevel
yes,thanks ill stick with edgy for a month or so then
thats a good start tks,got iphoneipod check iphone out
i need to split a text file into files of 10000 lines what shall i use,i tried split but it put spaces between each character
vnc is no rdp server it's no server at all it's a protocol,i thought something like that
is it possible to install a rpm package on ubuntu,sudo aptget install alien then use that the conver the rpm to a deb and install it
ubuntureleaseparty,thanks
did you empty the trash bin,right click the trash bin in lower right portion of screen and select the option to empty it
through network manager,that happens to me
amarok amarokengines amarokxine,hm
thanks 'd,also see httpubuntuforumsorgshowthreadphpt79283
something i'd rather not get into atm,i have to use outlook my employer sends out calendar events in the outlook winmaildat format
yes that is to be expected since you compile everything,yes i'm aware of thati did say that i used it
but some package must have installed this file,it's the nvidia kernel driver prolly build by dkms linuxrestrictedmoduleskernelversion has it
well i have been dual booting for a while i'm now ready to make the full switch,just follow the installation process carefully and watch what options you select
hello all i have 2 nics how do i know which nic is connected to the internet,ethtool or ifconfig
am i suppose to enter the command setup hd0 n under grub,if yes what is 'n'
hi everyone im new to whole xchat so i would like any advice for useing it,looks like you are pro
is it possible to install microsoft office onto ubuntu,if not what is my alternative
what's wrong with those,nothing wrong whats the 'proper' combination how do i configure the two to sleep together
eminx that's true because as an expert you'll despise functionality,im a beginner
wine runs win32 as in 32 bit windows apps,you can run wine in a 32bit chroot it takes some work but that's what i do
seq whats this 'sync',it would still be best to umount it though
lenovo netbook dual booting works with windows 7 ubuntu netbook 1004 1010 does not work hangs during install,it hangs do you hear the cd working or the usb working where does it hang
if you are using spekers and a seperate mic that can happen,i hate to say but this doesnt happen if i use windows
he might be wanting it for other channels,but if he's still in ubuntu hell spam anyway
xinegui also wont play dvds still,are you playing dvd disks or rips
ack why can't i su,omg root is disabled
rsync does that natively,another man to read thanks
i like xchat can't figure out why so many people hate it,'the interface is ugly'
anyone know how to fix this 'missing final newline' error i can't remove or install the package,signage what card are you using
what is schroot suppose to do that you can't do with chroot,chroot into a 32 bit environment from a 64 bit
why is my internet not working,im on irc on another computer
hahaha convert windows programs to linux my ass,this is just what i was told how does it work
gomox have you tried automatix,oo why would i do that
someone,see above
i run gallery on debian,well i trying to set it up on ubuntu
lol roasted sounds awesome,its a good idea right d
does anyone know what systemrequirementslabsrlproxytest2dll is,found it and two more sitting in my home folder
stop lightdm,blackshirt thanks guys
what is the problem,as i said earlier you can't depend on wine as a solution
october,710 102007
i'm looking for an answer too,no
did you check junk mail box,ya i checked it's not here in spam mails too
yes it's already at the bottom i realize,done thanks for the suggestion
anyone recommend a decent browser low mem use,also good to run over ssh tunneling
how do i go about booting in failsafe mode,gnea i don't have that on my grub menu
what do i need to install to play mp3s,if you want more than a one like answer 'it creates legal issues in some jurstications' then go to ubuntuofftopic
hi all can i determine which interface is virtual and which one is physical,apart from simply examining the interface name
why is that embarassing,because its a simple thing i just forgot
no need to do so,ext3 manages files better it rarely gets fragmented
how do i convert rpms to deb i'd like to install some files originally for suse httpwwwrivendellaudioorgrivendelldownloadshtml,radio automation system
heh,why do people so love to abuse the bot
ok who here is running dapper,anyone
purpzey can u refresh my memory on how to turn on compizfusion,system pref compiz
no no no it might scare them p,anyways better use ubuntuofftopic
i never read that manpage p i figured swat would take care of it for me,bcm baylor college of medicine
cat proccpuinfo cat procmeminfo etc,ahh proc thanks
useradd user admin,do you have the right to sudo with your actual user
i just installed xmmsstatusplugin but i have no idea how to useenable it anyone know,i just installed xmmsstatusplugin but i have no idea how to useenable it anyone know
